RouteType,Shape__Length
Direct route with higher traffic,50256.847912226745
Low-traffic on-road quiet route,231617.77577075138
Off-Road shared path,103805.75434480162
Regional cycle route,95793.67051741332
Separated off-road cycleway,36734.703157127486
